cycle,pc,if_pc,addr,hit,ml_busy,ml_done,pf_req,pf_addr,pf_accepted,pf_filled,pf_filled_addr,cache_stall,cache_pf_req,cache_pf_addr,pattern
2046,88,104,1312,1,1,0,0,0,0,0,0,0,0,0,3
2048,96,108,1308,0,1,0,0,0,0,0,0,1,0,0,0
2051,96,112,1308,1,1,0,0,0,0,0,0,0,0,0,0
2057,72,88,1308,1,1,0,0,0,0,0,0,0,0,0,3
2059,80,92,1324,0,1,0,0,0,0,0,0,1,0,0,3
2062,80,96,1324,1,1,0,0,0,0,0,0,0,0,0,3
2063,88,100,1324,1,1,0,0,0,0,0,0,0,0,0,3
2064,88,104,1324,1,1,0,0,0,0,0,0,0,0,0,3
2066,96,108,1320,0,1,0,0,0,0,0,0,1,0,0,0
2069,96,112,1320,1,1,0,0,0,0,0,0,0,0,0,0
2075,72,88,1320,1,1,0,0,0,0,0,0,0,0,0,3
2077,80,92,1336,0,1,0,0,0,0,0,0,1,0,0,3
2080,80,96,1336,1,1,0,0,0,0,0,0,0,0,0,3
2081,88,100,1336,1,1,0,0,0,0,0,0,0,0,0,3
2082,88,104,1336,1,1,0,0,0,0,0,0,0,0,0,3
2084,96,108,1332,0,1,0,0,0,0,0,0,1,0,0,0
2087,96,112,1332,1,1,0,0,0,0,0,0,0,0,0,0
2093,72,88,1332,1,1,0,0,0,0,0,0,0,0,0,3
2095,80,92,1348,0,1,0,0,0,0,0,0,1,0,0,3
2098,80,96,1348,1,1,0,0,0,0,0,0,0,0,0,3
2099,88,100,1348,1,1,0,0,0,0,0,0,0,0,0,3
2100,88,104,1348,1,1,0,0,0,0,0,0,0,0,0,3
2102,96,108,1344,0,1,0,0,0,0,0,0,1,0,0,0
2105,96,112,1344,1,1,0,0,0,0,0,0,0,0,0,0
2111,72,88,1344,1,1,0,0,0,0,0,0,0,0,0,3
2113,80,92,1360,0,1,0,0,0,0,0,0,1,0,0,3
2116,80,96,1360,1,1,0,0,0,0,0,0,0,0,0,3
2117,88,100,1360,1,1,0,0,0,0,0,0,0,0,0,3
2118,88,104,1360,1,1,0,0,0,0,0,0,0,0,0,3
2120,96,108,1356,0,1,0,0,0,0,0,0,1,0,0,0
2123,96,112,1356,1,1,0,0,0,0,0,0,0,0,0,0
2129,72,88,1356,1,1,0,0,0,0,0,0,0,0,0,3
2131,80,92,1372,0,1,0,0,0,0,0,0,1,0,0,3
2134,80,96,1372,1,1,0,0,0,0,0,0,0,0,0,3
2135,88,100,1372,1,1,0,0,0,0,0,0,0,0,0,3
2136,88,104,1372,1,1,0,0,0,0,0,0,0,0,0,3
2138,96,108,1368,0,1,0,0,0,0,0,0,1,0,0,0
2141,96,112,1368,1,1,0,0,0,0,0,0,0,0,0,0
2147,72,88,1368,1,1,0,0,0,0,0,0,0,0,0,3
2149,80,92,1384,0,1,0,0,0,0,0,0,1,0,0,3
2152,80,96,1384,1,1,0,0,0,0,0,0,0,0,0,3
2153,88,100,1384,1,1,0,0,0,0,0,0,0,0,0,3
2154,88,104,1384,1,1,0,0,0,0,0,0,0,0,0,3
2156,96,108,1380,0,1,0,0,0,0,0,0,1,0,0,0
2159,96,112,1380,1,1,0,0,0,0,0,0,0,0,0,0
2165,72,88,1380,1,1,0,0,0,0,0,0,0,0,0,3
2167,80,92,1396,0,1,0,0,0,0,0,0,1,0,0,3
2170,80,96,1396,1,1,0,0,0,0,0,0,0,0,0,3
2171,88,100,1396,1,1,0,0,0,0,0,0,0,0,0,3
2172,88,104,1396,1,1,0,0,0,0,0,0,0,0,0,3
2174,96,108,1392,0,1,0,0,0,0,0,0,1,0,0,0
2177,96,112,1392,1,1,0,0,0,0,0,0,0,0,0,0
2183,72,88,1392,1,1,0,0,0,0,0,0,0,0,0,3
2185,80,92,1408,0,1,0,0,0,0,0,0,1,0,0,3
2188,80,96,1408,1,1,0,0,0,0,0,0,0,0,0,3
2189,88,100,1408,1,1,0,0,0,0,0,0,0,0,0,3
2190,88,104,1408,1,1,0,0,0,0,0,0,0,0,0,3
2192,96,108,1404,0,1,0,0,0,0,0,0,1,0,0,0
2195,96,112,1404,1,1,0,0,0,0,0,0,0,0,0,0
2201,72,88,1404,1,1,0,0,0,0,0,0,0,0,0,3
2203,80,92,1420,0,1,0,0,0,0,0,0,1,0,0,3
2206,80,96,1420,1,1,0,0,0,0,0,0,0,0,0,3
2207,88,100,1420,1,1,0,0,0,0,0,0,0,0,0,3
2208,88,104,1420,1,1,0,0,0,0,0,0,0,0,0,3
2210,96,108,1416,0,1,0,0,0,0,0,0,1,0,0,0
2213,96,112,1416,1,1,0,0,0,0,0,0,0,0,0,0
2219,72,88,1416,1,1,0,0,0,0,0,0,0,0,0,3
2221,80,92,1432,0,1,0,0,0,0,0,0,1,0,0,3
2224,80,96,1432,1,1,0,0,0,0,0,0,0,0,0,3
2225,88,100,1432,1,1,0,0,0,0,0,0,0,0,0,3
2226,88,104,1432,1,1,0,0,0,0,0,0,0,0,0,3
2228,96,108,1428,0,1,0,0,0,0,0,0,1,0,0,0
2231,96,112,1428,1,1,0,0,0,0,0,0,0,0,0,0
2237,72,88,1428,1,1,0,0,0,0,0,0,0,0,0,3
2239,80,92,1444,0,1,0,0,0,0,0,0,1,0,0,3
2242,80,96,1444,1,1,0,0,0,0,0,0,0,0,0,3
2243,88,100,1444,1,1,0,0,0,0,0,0,0,0,0,3
2244,88,104,1444,1,1,0,0,0,0,0,0,0,0,0,3
2246,96,108,1440,0,1,0,0,0,0,0,0,1,0,0,0
2249,96,112,1440,1,1,0,0,0,0,0,0,0,0,0,0
2255,72,88,1440,1,1,0,0,0,0,0,0,0,0,0,3
2257,80,92,1456,0,1,0,0,0,0,0,0,1,0,0,3
2260,80,96,1456,1,1,0,0,0,0,0,0,0,0,0,3
2261,88,100,1456,1,1,0,0,0,0,0,0,0,0,0,3
2262,88,104,1456,1,1,0,0,0,0,0,0,0,0,0,3
2264,96,108,1452,0,1,0,0,0,0,0,0,1,0,0,0
2267,96,112,1452,1,1,0,0,0,0,0,0,0,0,0,0
2273,72,88,1452,1,1,0,0,0,0,0,0,0,0,0,3
2275,80,92,1468,0,1,0,0,0,0,0,0,1,0,0,3
2278,80,96,1468,1,1,0,0,0,0,0,0,0,0,0,3
2279,88,100,1468,1,1,0,0,0,0,0,0,0,0,0,3
2280,88,104,1468,1,1,0,0,0,0,0,0,0,0,0,3
2282,96,108,1464,0,1,0,0,0,0,0,0,1,0,0,0
2285,96,112,1464,1,1,0,0,0,0,0,0,0,0,0,0
2291,72,88,1464,1,1,0,0,0,0,0,0,0,0,0,3
2293,80,92,1480,0,1,0,0,0,0,0,0,1,0,0,3
2296,80,96,1480,1,1,0,0,0,0,0,0,0,0,0,3
2297,88,100,1480,1,1,0,0,0,0,0,0,0,0,0,3
2298,88,104,1480,1,1,0,0,0,0,0,0,0,0,0,3
2300,96,108,1476,0,1,0,0,0,0,0,0,1,0,0,0
2303,96,112,1476,1,1,0,0,0,0,0,0,0,0,0,0
2309,72,88,1476,1,1,0,0,0,0,0,0,0,0,0,3
2311,80,92,1492,0,1,0,0,0,0,0,0,1,0,0,3
2314,80,96,1492,1,1,0,0,0,0,0,0,0,0,0,3
2315,88,100,1492,1,1,0,0,0,0,0,0,0,0,0,3
2316,88,104,1492,1,1,0,0,0,0,0,0,0,0,0,3
2318,96,108,1488,0,1,0,0,0,0,0,0,1,0,0,0
2321,96,112,1488,1,1,0,0,0,0,0,0,0,0,0,0
2327,72,88,1488,1,1,0,0,0,0,0,0,0,0,0,3
2329,80,92,1504,0,1,0,0,0,0,0,0,1,0,0,3
2332,80,96,1504,1,1,0,0,0,0,0,0,0,0,0,3
2333,88,100,1504,1,1,0,0,0,0,0,0,0,0,0,3
2334,88,104,1504,1,1,0,0,0,0,0,0,0,0,0,3
2336,96,108,1500,0,1,0,0,0,0,0,0,1,0,0,0
2339,96,112,1500,1,1,0,0,0,0,0,0,0,0,0,0
2345,72,88,1500,1,1,0,0,0,0,0,0,0,0,0,3
2347,80,92,1516,0,1,0,0,0,0,0,0,1,0,0,3
2350,80,96,1516,1,1,0,0,0,0,0,0,0,0,0,3
2351,88,100,1516,1,1,0,0,0,0,0,0,0,0,0,3
2352,88,104,1516,1,1,0,0,0,0,0,0,0,0,0,3
2354,96,108,1512,0,1,0,0,0,0,0,0,1,0,0,0
2357,96,112,1512,1,1,0,0,0,0,0,0,0,0,0,0
2363,72,88,1512,1,1,0,0,0,0,0,0,0,0,0,3
2365,80,92,1528,0,1,0,0,0,0,0,0,1,0,0,3
2368,80,96,1528,1,1,0,0,0,0,0,0,0,0,0,3
2369,88,100,1528,1,1,0,0,0,0,0,0,0,0,0,3
2370,88,104,1528,1,1,0,0,0,0,0,0,0,0,0,3
2372,96,108,1524,0,1,0,0,0,0,0,0,1,0,0,0
2375,96,112,1524,1,1,0,0,0,0,0,0,0,0,0,0
2381,72,88,1524,1,1,0,0,0,0,0,0,0,0,0,3
2383,80,92,1540,0,1,0,0,0,0,0,0,1,0,0,3
2386,80,96,1540,1,1,0,0,0,0,0,0,0,0,0,3
2387,88,100,1540,1,1,0,0,0,0,0,0,0,0,0,3
2388,88,104,1540,1,1,0,0,0,0,0,0,0,0,0,3
2390,96,108,1536,0,1,0,0,0,0,0,0,1,0,0,0
2393,96,112,1536,1,1,0,0,0,0,0,0,0,0,0,0
2399,72,88,1536,1,1,0,0,0,0,0,0,0,0,0,3
2401,80,92,1552,0,1,0,0,0,0,0,0,1,0,0,3
2404,80,96,1552,1,1,0,0,0,0,0,0,0,0,0,3
2405,88,100,1552,1,1,0,0,0,0,0,0,0,0,0,3
2406,88,104,1552,1,1,0,0,0,0,0,0,0,0,0,3
2408,96,108,1548,0,1,0,0,0,0,0,0,1,0,0,0
2411,96,112,1548,1,1,0,0,0,0,0,0,0,0,0,0
2417,72,88,1548,1,1,0,0,0,0,0,0,0,0,0,3
2419,80,92,1564,0,1,0,0,0,0,0,0,1,0,0,3
2422,80,96,1564,1,1,0,0,0,0,0,0,0,0,0,3
2423,88,100,1564,1,1,0,0,0,0,0,0,0,0,0,3
2424,88,104,1564,1,1,0,0,0,0,0,0,0,0,0,3
2426,96,108,1560,0,1,0,0,0,0,0,0,1,0,0,0
2429,96,112,1560,1,1,0,0,0,0,0,0,0,0,0,0
2435,72,88,1560,1,1,0,0,0,0,0,0,0,0,0,3
2437,80,92,1576,0,1,0,0,0,0,0,0,1,0,0,3
2440,80,96,1576,1,1,0,0,0,0,0,0,0,0,0,3
2441,88,100,1576,1,1,0,0,0,0,0,0,0,0,0,3
2442,88,104,1576,1,1,0,0,0,0,0,0,0,0,0,3
2444,96,108,1572,0,1,0,0,0,0,0,0,1,0,0,0
2447,96,112,1572,1,1,0,0,0,0,0,0,0,0,0,0
2453,72,88,1572,1,1,0,0,0,0,0,0,0,0,0,3
2455,80,92,1588,0,1,0,0,0,0,0,0,1,0,0,3
2458,80,96,1588,1,1,0,0,0,0,0,0,0,0,0,3
2459,88,100,1588,1,1,0,0,0,0,0,0,0,0,0,3
2460,88,104,1588,1,1,0,0,0,0,0,0,0,0,0,3
2462,96,108,1584,0,1,0,0,0,0,0,0,1,0,0,0
2465,96,112,1584,1,1,0,0,0,0,0,0,0,0,0,0
2471,72,88,1584,1,1,0,0,0,0,0,0,0,0,0,3
2473,80,92,1600,0,1,0,0,0,0,0,0,1,0,0,3
2476,80,96,1600,1,1,0,0,0,0,0,0,0,0,0,3
2477,88,100,1600,1,1,0,0,0,0,0,0,0,0,0,3
2478,88,104,1600,1,1,0,0,0,0,0,0,0,0,0,3
2480,96,108,1596,0,1,0,0,0,0,0,0,1,0,0,0
2483,96,112,1596,1,1,0,0,0,0,0,0,0,0,0,0
2489,72,88,1596,1,1,0,0,0,0,0,0,0,0,0,3
2491,80,92,1612,0,1,0,0,0,0,0,0,1,0,0,3
2494,80,96,1612,1,1,0,0,0,0,0,0,0,0,0,3
2495,88,100,1612,1,1,0,0,0,0,0,0,0,0,0,3
2496,88,104,1612,1,1,0,0,0,0,0,0,0,0,0,3
2498,96,108,1608,0,1,0,0,0,0,0,0,1,0,0,0
2501,96,112,1608,1,1,0,0,0,0,0,0,0,0,0,0
2507,72,88,1608,1,1,0,0,0,0,0,0,0,0,0,3
2509,80,92,1624,0,1,0,0,0,0,0,0,1,0,0,3
2512,80,96,1624,1,1,0,0,0,0,0,0,0,0,0,3
2513,88,100,1624,1,1,0,0,0,0,0,0,0,0,0,3
2514,88,104,1624,1,1,0,0,0,0,0,0,0,0,0,3
2516,96,108,1620,0,1,0,0,0,0,0,0,1,0,0,0
2519,96,112,1620,1,1,0,0,0,0,0,0,0,0,0,0
2525,72,88,1620,1,1,0,0,0,0,0,0,0,0,0,3
2527,80,92,1636,0,1,0,0,0,0,0,0,1,0,0,3
